Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,ratingsCount,Price
The Lottery rose,"A boy learns what it means to give and receive love in this beautifully refreshed edition of Lottery Rose from Newbery Award–winning author Irene Hunt. Georgie Burgess doesn’t talk about the abuse that he receives from his mother and her boyfriend. Even though he’s constantly getting into trouble at school, he continues to hide his hurt, refusing to tell anyone what life is like at home. Instead, he finds escape between the pages of books depicting beautiful gardens and flowers. When Georgie wins a small rosebush in a supermarket lottery, he gives it all the love and caring he’s never had. Soon after, his life begins to change when child services remove him from his mother’s care and look for a new, safe home for him. But all the while, Georgie still needs to find a home for his rosebush, and through the people he meets, he slowly learns what it means to be loved and accepted.",Irene Hunt,http://books.google.com/books/content?id=mvvtDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=mvvtDwAAQBAJ&pg=PP1&dq=The+Lottery+rose&hl=&cd=1&source=gbs_api,Simon and Schuster,2021-03-23,https://play.google.com/store/books/details?id=mvvtDwAAQBAJ&source=gbs_api,2.0,29.704370023320795
Jackalope,"A jackrabbit who wishes to be feared asks his fairy godrabbit for horns and becomes the first jackalope, but there's one condition: he must not tell lies. 75,000 first printing.","Janet Stevens, Susan Stevens Crummel",http://books.google.com/books/content?id=J5A5ngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=J5A5ngEACAAJ&dq=Jackalope&hl=&cd=1&source=gbs_api,HMH Books For Young Readers,2014-05-13,http://books.google.nl/books?id=J5A5ngEACAAJ&dq=Jackalope&hl=&source=gbs_api,5.0,29.704370023320795
You can make your life count,"Everyone wants their life to count. We all wish we could make a difference in a hurting world. The good news is that we can. Despite our own brokenness (and, in fact, because of it) each of us can be Jesus's hands and feet on Earth, reaching out to others in real and profound ways. With powerful true stories, illustrations from the life of Christ, and specific activities for readers to engage, DO Something! is a hopeful and practical book that shows how to live out faith in a way that improves people's lives. With transparency and humility, Miles McPherson shares his own shortcomings as a young pastor trying to connect with people in need. Stressing the importance of hurting with people before you can do something for them, McPherson takes readers through the 5 P's of making their lives count: preparation, purpose, pain, power, and passion. By putting into practice the principles found in this book, readers will experience spiritual fulfillment as they see that they can make a real difference in the lives of those around them.",Miles McPherson,http://books.google.com/books/content?id=hyh9s9ZUkegC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=hyh9s9ZUkegC&printsec=frontcover&dq=You+can+make+your+life+count&hl=&cd=1&source=gbs_api,Baker Books,2009-11-01,https://play.google.com/store/books/details?id=hyh9s9ZUkegC&source=gbs_api,5.0,29.704370023320795
THE DAILY STUDY BIBLE SERIES: PROVERBS (Old Testament),"""Where there is no vision, the people perish."" In this perceptive commentary familiar sayings from the book of Proverbs, such as this one, are seen in a new light. Kenneth T. Aitken deepens our understanding of the collection of popular sayings and folk wisdom of ancient Israel. Carrying forward brilliantly the pattern established by Barclay's New Testament series, the Daily Study Bible has been extended to cover the entire Old Testament as well. Invaluable for individual devotional study, for group discussion, and for classroom use, the Daily Study Bible provides a useful, reliable, and eminently readable way to discover what the Scriptures were saying then and what God is saying today.",Kenneth T. Aitken,http://books.google.com/books/content?id=LS_dqH1jWE4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=LS_dqH1jWE4C&printsec=frontcover&dq=THE+DAILY+STUDY+BIBLE+SERIES:+PROVERBS+(Old+Testament)&hl=&cd=1&source=gbs_api,Westminster John Knox Press,1986-01-01,http://books.google.com/books?id=LS_dqH1jWE4C&dq=THE+DAILY+STUDY+BIBLE+SERIES:+PROVERBS+(Old+Testament)&hl=&source=gbs_api,1.0,29.704370023320795
"Sticks, Stones, Roots & Bones: Hoodoo, Mojo & Conjuring with Herbs",Comprehensive book on Hoodoo Magic.,Stephanie Rose Bird,http://books.google.com/books/content?id=tX8bBQIv_kwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=tX8bBQIv_kwC&printsec=frontcover&dq=Sticks,+Stones,+Roots&hl=&cd=1&source=gbs_api",Llewellyn Worldwide,2004,"http://books.google.com/books?id=tX8bBQIv_kwC&dq=Sticks,+Stones,+Roots&hl=&source=gbs_api",5.0,11.5
BELCHAMBER,"In his remarkably interesting novel, Howard Sturgis, with a skilful touch, describes life in the rich and self-indulgent aristocratic society. It traces the career of a young man, Sainty, brought up in the midst of great luxury. Indecision of character is the weakness of Sainty. He allows himself to become the prey of a scheming mother and her worthless daughter, and, in spite of the tremendous advantage of his wealth and position, and a strong desire to benefit his fellow-men, he never accomplishes anything. Sainty is the victim of his surroundings; he makes a few ineffectual struggles before the waters of adverse circumstance close over him. Most of the men and women described in ""Belchamber"" are hard and grasping if not distinctly vicious, and yet the variety shown is endless. The book is extremely well written, showing marked skill in the delineation of character.---Mary K. Ford",Howard Overing Sturgis,http://books.google.com/books/content?id=wz7GBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=wz7GBgAAQBAJ&printsec=frontcover&dq=BELCHAMBER&hl=&cd=1&source=gbs_api,Mondial,2015-02-22,https://play.google.com/store/books/details?id=wz7GBgAAQBAJ&source=gbs_api,1.0,29.704370023320795
The Loony-Bin Trip,A personal story of Kate Millett's struggle to regain control of her life after falling under an ascription of manic depression.,Kate Millett,http://books.google.com/books/content?id=1DcIdv-7j3AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=1DcIdv-7j3AC&printsec=frontcover&dq=The+Loony-Bin+Trip&hl=&cd=1&source=gbs_api,University of Illinois Press,2000,http://books.google.com/books?id=1DcIdv-7j3AC&dq=The+Loony-Bin+Trip&hl=&source=gbs_api,3.0,29.704370023320795
Spirits Rebellious,"A clarion call for freedom from one of the twentieth century's most important philosophers and writers, Kahlil Gibran A book so powerful it was burned in the marketplace of Beirut at the time of its publication, Kahlil Gibran's 'Spirits Rebellious' is a clarion call for freedom in his homeland of Lebanon-for individuals and society. Gibran's bitter denunciation of religious and political injustice flows through his lyric pen in three parables, that of ""Madame Rose Hanie,"" ""The Cry of the Graves,"" and ""Kahlil the Heretic."" His vision of liberty is no less powerful today.",Kahlil Gibran,http://books.google.com/books/content?id=hlkpDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=hlkpDwAAQBAJ&pg=PP1&dq=Spirits+Rebellious&hl=&cd=1&source=gbs_api,Lulu.com,2017-06-14,http://books.google.com/books?id=hlkpDwAAQBAJ&dq=Spirits+Rebellious&hl=&source=gbs_api,2.0,29.704370023320795
The Homosexualities & the Therapeutic Process,"For the last decade Liberia has been one of Africa's most violent trouble spots. In 1990, when thousands of teenage fighters, including young men wearing women's clothing and bizarre objects of decoration, laid siege to the capital, the world took notice. Since then Liberia has been through devastating civil upheaval and the most feared warlord, Charles Taylor, is now president. What began as a civil conflict, has spread to other West African nations. Western correspondents saw in the Liberian war a primeval, savage Africa-a ""heart of darkness."" They focused on sensational ""primitive"" aspects of the conflict, such as the prevalence of traditional healers and soothsayers, and shocked the international community with tales of cannibalism, especially the eating of the body parts of defeated opponents, which was widespread. Eschewing popular stereotypes and simple explanations, Stephen Ellis traces the history of the civil war that has blighted Liberia in recent years and looks at its political, ethnic and cultural roots. He focuses on the role religion and ritual have played in shaping and intensifying this brutal war.","Stephen O. Murray, Will Roscoe",http://books.google.com/books/content?id=5KkUCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=5KkUCgAAQBAJ&pg=PP1&dq=The+Homosexualities&hl=&cd=1&source=gbs_api,NYU Press,1997-02-01,http://books.google.com/books?id=5KkUCgAAQBAJ&dq=The+Homosexualities&hl=&source=gbs_api,2.0,29.704370023320795
Suitable for Framing,"A Miami crime reporter contends with a brutal murder—and a backstabbing colleague—in this “entertaining” mystery from the Edgar Award–nominated author (Booklist). A mother and child are the recent victims of a carjacking followed by a fatal hit-and-run. Miami crime reporter Britt Montero witnesses the tragedy—and relentlessly pursues the story. But at the same time, trouble lurks in the newsroom. A new, ambitious reporter covets Britt’s job, and Britt begins to suspect that her rival’s “breaking news” stories may not be what they seem. As she investigates, Britt herself becomes the prime suspect in a shocking murder. Faced with losing more than just her job, Britt is left fighting the most desperate deadline of her life. “[An] extremely likable heroine.” —Publishers Weekly “Even on deadline, Buchanan couldn’t write a boring page.” —Kirkus Reviews",Edna Buchanan,http://books.google.com/books/content?id=n-JwAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=n-JwAwAAQBAJ&printsec=frontcover&dq=Suitable+for+Framing&hl=&cd=1&source=gbs_api,Diversion Books,2014-04-27,https://play.google.com/store/books/details?id=n-JwAwAAQBAJ&source=gbs_api,3.0,29.704370023320795
